PERMNO,date,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd
84398,01/04/2010,SPY,SPDR TRUST,78462F10,113.33000,0.016960,761530,0.017120,0.019120
84398,01/05/2010,SPY,SPDR TRUST,78462F10,113.63000,0.002647,761530,0.003368,0.002475
84398,01/06/2010,SPY,SPDR TRUST,78462F10,113.71000,0.000704,761530,0.002052,0.003210
84398,01/07/2010,SPY,SPDR TRUST,78462F10,114.19000,0.004221,761530,0.002854,0.006887
84398,01/08/2010,SPY,SPDR TRUST,78462F10,114.57000,0.003328,761530,0.004162,0.007230
84398,01/11/2010,SPY,SPDR TRUST,78462F10,114.73000,0.001397,761530,0.001122,0.003568
84398,01/12/2010,SPY,SPDR TRUST,78462F10,113.66000,-0.009326,761530,-0.010990,-0.010170
84398,01/13/2010,SPY,SPDR TRUST,78462F10,114.62000,0.008446,761530,0.008639,0.008890
84398,01/14/2010,SPY,SPDR TRUST,78462F10,114.93000,0.002705,761530,0.002319,0.004431
84398,01/15/2010,SPY,SPDR TRUST,78462F10,113.64000,-0.011224,761530,-0.011321,-0.008664
84398,01/19/2010,SPY,SPDR TRUST,78462F10,115.06000,0.012496,761530,0.012053,0.011286
84398,01/20/2010,SPY,SPDR TRUST,78462F10,113.89000,-0.010169,761530,-0.011061,-0.009048
84398,01/21/2010,SPY,SPDR TRUST,78462F10,111.70000,-0.019229,761530,-0.017736,-0.014191
84398,01/22/2010,SPY,SPDR TRUST,78462F10,109.21000,-0.022292,761530,-0.020991,-0.014432
84398,01/25/2010,SPY,SPDR TRUST,78462F10,109.77000,0.005128,761530,0.003892,0.000975
84398,01/26/2010,SPY,SPDR TRUST,78462F10,109.31000,-0.004191,761530,-0.004906,-0.006016
84398,01/27/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,109.83000,0.004757,761530,0.004153,0.001880
84398,01/28/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,108.57000,-0.011472,761530,-0.011294,-0.008876
84398,01/29/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,107.39000,-0.010869,612980,-0.010282,-0.008187
