PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
84398,31/01/2000,SPY,SPDR TRUST,78462F10,,139.62500,-0.049362,27109,-0.039607,0.050642
84398,29/02/2000,SPY,SPDR TRUST,78462F10,,137.43750,-0.015667,102670,0.031782,0.120481
84398,31/03/2000,SPY,SPDR TRUST,78462F10,,150.37500,0.096832,102670,0.053499,-0.000464
84398,28/04/2000,SPY,SPDR TRUST,78462F10,,145.09375,-0.035121,102670,-0.059527,-0.088473
84398,31/05/2000,SPY,SPDR TRUST,78462F10,,142.81250,-0.015723,102670,-0.038870,-0.057337
84398,30/06/2000,SPY,SPDR TRUST,78462F10,,145.28125,0.019726,102670,0.051603,0.079304
84398,31/07/2000,SPY,SPDR TRUST,78462F10,,142.90625,-0.016348,102670,-0.017712,-0.019303
84398,31/08/2000,SPY,SPDR TRUST,78462F10,,152.34375,0.066040,149422,0.075007,0.059300
84398,29/09/2000,SPY,SPDR TRUST,78462F10,,143.62500,-0.054767,149422,-0.051144,-0.040045
84398,31/10/2000,SPY,SPDR TRUST,78462F10,,142.95313,-0.004678,149422,-0.024495,-0.066833
84398,30/11/2000,SPY,SPDR TRUST,78462F10,,132.28125,-0.074653,149422,-0.102373,-0.118569
84398,29/12/2000,SPY,SPDR TRUST,78462F10,,131.18750,-0.005159,149422,0.020423,-0.007053
84398,31/01/2001,SPY,SPDR TRUST,78462F10,,137.02000,0.044459,149422,0.039599,0.225038
84398,28/02/2001,SPY,SPDR TRUST,78462F10,,123.95000,-0.095388,149422,-0.099103,-0.074519
84398,30/03/2001,SPY,SPDR TRUST,78462F10,,116.69000,-0.056026,149422,-0.070393,-0.072702
84398,30/04/2001,SPY,SPDR TRUST,78462F10,,124.91000,0.070443,149422,0.083831,0.076441
84398,31/05/2001,SPY,SPDR TRUST,78462F10,,125.95000,0.008326,149422,0.010455,0.062199
84398,29/06/2001,SPY,SPDR TRUST,78462F10,,122.60000,-0.023847,149422,-0.017553,0.007726
84398,31/07/2001,SPY,SPDR TRUST,78462F10,,121.35000,-0.010196,149422,-0.018298,-0.028403
84398,31/08/2001,SPY,SPDR TRUST,78462F10,,114.15000,-0.059332,149422,-0.058982,-0.035013
84398,28/09/2001,SPY,SPDR TRUST,78462F10,,104.44000,-0.081831,149422,-0.091485,-0.127787
84398,31/10/2001,SPY,SPDR TRUST,78462F10,,105.80000,0.013022,149422,0.027836,0.078125
84398,30/11/2001,SPY,SPDR TRUST,78462F10,,114.05000,0.077977,149422,0.078777,0.080799
84398,31/12/2001,SPY,SPDR TRUST,78462F10,,114.30000,0.005636,149422,0.017852,0.057768
84398,31/01/2002,SPY,SPDR TRUST,78462F10,,113.18000,-0.009799,256781,-0.015975,0.018192
84398,28/02/2002,SPY,SPDR TRUST,78462F10,,111.15000,-0.017936,257283,-0.021696,-0.033066
84398,28/03/2002,SPY,SPDR TRUST,78462F10,,114.52000,0.033297,249783,0.044678,0.074653
84398,30/04/2002,SPY,SPDR TRUST,78462F10,,107.86000,-0.058156,251883,-0.049618,-0.003165
84398,31/05/2002,SPY,SPDR TRUST,78462F10,,107.22000,-0.005934,271235,-0.010521,-0.015507
84398,28/06/2002,SPY,SPDR TRUST,78462F10,,98.96000,-0.073742,287385,-0.070249,-0.067317
84398,31/07/2002,SPY,SPDR TRUST,78462F10,,91.16000,-0.078820,311335,-0.081149,-0.107497
84398,30/08/2002,SPY,SPDR TRUST,78462F10,,91.78000,0.006801,330488,0.007979,0.006337
84398,30/09/2002,SPY,SPDR TRUST,78462F10,,81.79000,-0.104728,374888,-0.099920,-0.084490
84398,31/10/2002,SPY,SPDR TRUST,78462F10,,88.52000,0.082284,443438,0.074923,0.042773
84398,29/11/2002,SPY,SPDR TRUST,78462F10,,93.98000,0.061681,465141,0.061271,0.117775
84398,31/12/2002,SPY,SPDR TRUST,78462F10,,88.23000,-0.056546,418241,-0.053313,-0.040159
84398,31/01/2003,SPY,SPDR TRUST,78462F10,,86.06000,-0.024595,435441,-0.023392,0.006068
84398,28/02/2003,SPY,SPDR TRUST,78462F10,,84.90000,-0.013479,402895,-0.015390,-0.021448
84398,31/03/2003,SPY,SPDR TRUST,78462F10,,84.74000,0.002289,465295,0.010325,0.009434
84398,30/04/2003,SPY,SPDR TRUST,78462F10,,91.91000,0.084612,462445,0.082762,0.098231
84398,30/05/2003,SPY,SPDR TRUST,78462F10,,96.95000,0.054836,456748,0.063471,0.133177
